Flight_no,Departure_airport,Arrival_Airport,Aircraft,Flight_time,standard_Departure,Standard_arrival,Latitude,Longitude,Airline,time_block
BA936,London (LHR),Dusseldorf (DUS),A319,3780,07:35,09:55,51.289,6.8,British Airways,10
A53000,Nantes (NTE),Dusseldorf (DUS),E145,4440,08:25,09:55,51.289,6.8,HOP!,10
EW9713,Basel (BSL),Dusseldorf (DUS),A320,2820,08:55,10:00,51.289,6.8,Eurowings   ,10
EW9763,Zurich (ZRH),Dusseldorf (DUS),A320,3000,08:50,10:00,51.289,6.8,Eurowings,10
AB8585,Zurich (ZRH),Dusseldorf (DUS),A320,3120,08:45,10:00,51.289,6.8,Air Berlin,10
EW9409,Paris (CDG),Dusseldorf (DUS),A320,2760,09:00,10:05,51.289,6.8,Eurowings,10
EW9773,Prague (PRG),Dusseldorf (DUS),A320,2940,09:00,10:10,51.289,6.8,Eurowings,10
EW9743,Geneva (GVA),Dusseldorf (DUS),A319,3420,09:00,10:10,51.289,6.8,Eurowings,10
EW9337,Birmingham (BHX),Dusseldorf (DUS),A320,3540,07:50,10:10,51.289,6.8,Eurowings,10
SU6643,St. Petersburg (LED),Dusseldorf (DUS),A319,8940,08:30,10:15,51.289,6.8,Rossiya,10
EW9827,Milan (MXP),Dusseldorf (DUS),A319,3720,08:45,10:15,51.289,6.8,Eurowings,10
AZ420,Rome (FCO),Dusseldorf (DUS),A319,5640,08:05,10:15,51.289,6.8,Alitalia,10
4U9341,Manchester (MAN),Dusseldorf (DUS),A320,3840,08:05,10:30,51.289,6.8,Germanwings,12
AB6024,Manchester (MAN),Dusseldorf (DUS),A319,3600,07:55,10:20,51.289,6.8,Air Berlin   ,10
EW9051,Berlin (TXL),Dusseldorf (DUS),A320,3300,09:10,10:20,51.289,6.8,Eurowings,10
SK1623,Stockholm (ARN),Dusseldorf (DUS),B737,6300,08:25,10:25,51.289,6.8,SAS,10
EW9413,Lyon (LYS),Dusseldorf (DUS),A320,3900,08:55,10:25,51.289,6.8,Eurowings,10
EW9469,London (LHR),Dusseldorf (DUS),A320,3360,08:05,10:25,51.289,6.8,Eurowings,10
EW7062,Hamburg (HAM),Dusseldorf (DUS),A319,2580,09:45,10:40,51.289,6.8,Eurowings,10
AB8433,Vienna (VIE),Dusseldorf (DUS),A320,3960,09:10,10:40,51.289,6.8,Air Berlin,10
4U9221,Gothenburg (GOT),Dusseldorf (DUS),A319,4320,09:15,10:45,51.289,6.8,Germanwings,10
EW9785,Budapest (BUD),Dusseldorf (DUS),A319,4800,09:10,10:55,51.289,6.8,Eurowings,10
EW9755,Vienna (VIE),Dusseldorf (DUS),A320,3960,09:30,11:00,51.289,6.8,Eurowings,12
EW9725,Warsaw (WAW),Dusseldorf (DUS),A319,5040,13:05,14:55,51.289,6.8,Eurowings   ,16
SK816,Oslo (OSL),Dusseldorf (DUS),B738,5580,09:15,11:05,51.289,6.8,SAS,10
LH76,Frankfurt (FRA),Dusseldorf (DUS),CRJ9,1860,10:15,11:05,51.289,6.8,Lufthansa,12
AB6741,Hamburg (HAM),Dusseldorf (DUS),AT75,3480,10:05,11:05,51.289,6.8,Air Berlin,12
IB3140,Madrid (MAD),Dusseldorf (DUS),A320,7200,08:45,11:20,51.289,6.8,Iberia,12
PC1001,Istanbul (SAW),Dusseldorf (DUS),A20N,9420,08:50,11:25,51.289,6.8,Pegasus Airlines,10
AF1606,Paris (CDG),Dusseldorf (DUS),E190,2640,10:15,11:25,51.289,6.8,HOP!,12
4U9217,Stockholm (ARN),Dusseldorf (DUS),A320,5940,09:30,11:30,51.289,6.8,Germanwings,12
EW9585,Palma de Mallorca (PMI),Dusseldorf (DUS),A320,7260,09:10,11:30,51.289,6.8,SunExpress,12
HG7623,Palma de Mallorca (PMI),Dusseldorf (DUS),A321,7320,09:10,11:30,51.289,6.8,Travel Service,12
AB6028,Munich (MUC),Dusseldorf (DUS),A321,2640,10:20,11:30,51.289,6.8,Air Berlin,12
X32313,Palma de Mallorca (PMI),Dusseldorf (DUS),B738,6840,08:30,11:00,51.289,6.8,TUI fly,10
X32115,Palma de Mallorca (PMI),Dusseldorf (DUS),B738,7560,09:05,11:35,51.289,6.8,TUI fly Deutschland,12
X32915,Ibiza (IBZ),Dusseldorf (DUS),B738,8040,20:25,22:55,51.289,6.8,TUI fly,0
DE1515,Palma de Mallorca (PMI),Dusseldorf (DUS),B753,7020,09:20,11:40,51.289,6.8,Condor,12
LH2008,Munich (MUC),Dusseldorf (DUS),A319,2580,10:30,11:40,51.289,6.8,Lufthansa,12
EW9589,Palma de Mallorca (PMI),Dusseldorf (DUS),A320,7680,18:30,20:50,51.289,6.8,Eurowings,22
KL1855,Amsterdam (AMS),Dusseldorf (DUS),E190,2160,11:00,11:50,51.289,6.8,KLM Cityhopper   ,12
EW9441,Barcelona (BCN),Dusseldorf (DUS),A320,6480,09:35,11:55,51.289,6.8,Eurowings,12
A3540,Thessaloniki (SKG),Dusseldorf (DUS),A320,7680,10:10,12:00,51.289,6.8,Aegean Airlines,12
BE1401,London (LCY),Dusseldorf (DUS),DH8D,4320,09:35,12:05,51.289,6.8,Flybe,12
AB6439,Berlin (TXL),Dusseldorf (DUS),A320,3240,10:35,11:45,51.289,6.8,Air Berlin,12
HG2547,Alicante (ALC),Dusseldorf (DUS),A321,7320,09:25,11:55,51.289,6.8,Niki,12
X34429,Corfu (CFU),Dusseldorf (DUS),B738,7800,10:15,12:05,51.289,6.8,TUI fly,12
TK1533,Istanbul (SAW),Dusseldorf (DUS),A320,10140,09:50,12:20,51.289,6.8,Turkish Airlines,12
LH2010,Munich (MUC),Dusseldorf (DUS),A321,2760,11:30,12:40,51.289,6.8,Lufthansa,12
TP542,Lisbon (LIS),Dusseldorf (DUS),E90,8760,08:40,12:45,51.289,6.8,TAP Express,12
4U9407,Paris (CDG),Dusseldorf (DUS),A319,2640,11:45,12:50,51.289,6.8,Germanwings,12
AB8741,Milan (LIN),Dusseldorf (DUS),A320,4200,11:25,12:55,51.289,6.8,Air Berlin,14
AB7481,Milan (LIN),Dusseldorf (DUS),A319,3660,10:35,12:05,51.289,6.8,Air Berlin,12
AB7431,Los Angeles (LAX),Dusseldorf (DUS),A332,38460,17:15,13:00,51.289,6.8,Air Berlin,14
AB8589,Zurich (ZRH),Dusseldorf (DUS),A320,3300,11:50,13:05,51.289,6.8,Air Berlin,14
AB6835,Stuttgart (STR),Dusseldorf (DUS),DH8D,2760,12:00,13:05,51.289,6.8,Air Berlin,12
AB6775,Nurnberg (NUE),Dusseldorf (DUS),DH8D,2580,12:00,13:00,51.289,6.8,Mistral Air,12
KK6013,Istanbul (IST),Dusseldorf (DUS),A320,9420,10:40,13:10,51.289,6.8,AtlasGlobal,14
BA938,London (LHR),Dusseldorf (DUS),A319,3420,10:45,13:10,51.289,6.8,British Airways,14
AB6805,Dresden (DRS),Dusseldorf (DUS),DH8D,3360,12:05,13:20,51.289,6.8,Air Berlin,14
EK55,Dubai (DXB),Dusseldorf (DUS),A388,23100,08:30,13:25,51.289,6.8,Emirates,14
LH78,Frankfurt (FRA),Dusseldorf (DUS),A320,1980,12:40,13:30,51.289,6.8,Lufthansa,14
AB6032,Munich (MUC),Dusseldorf (DUS),A320,2760,12:20,13:30,51.289,6.8,Air Berlin,14
X34105,Heraklion (HER),Dusseldorf (DUS),B738,10740,20:15,22:50,51.289,6.8,TUI fly   ,22
TK1525,Istanbul (IST),Dusseldorf (DUS),A321,9120,11:15,13:35,51.289,6.8,Turkish Airlines,14
AB8435,Vienna (VIE),Dusseldorf (DUS),A320,3840,12:05,13:35,51.289,6.8,Air Berlin,16
XQ180,Antalya (AYT),Dusseldorf (DUS),B738,11760,10:40,13:40,51.289,6.8,SunExpress,14
AB8043,Copenhagen (CPH),Dusseldorf (DUS),DH8D,4380,12:10,13:40,51.289,6.8,Air Berlin,14
SU2152,Moscow (SVO),Dusseldorf (DUS),A320,10080,11:30,13:50,51.289,6.8,Aeroflot,14
AF1506,Paris (CDG),Dusseldorf (DUS),E170,2940,12:40,13:50,51.289,6.8,HOP!,14
AB8623,Geneva (GVA),Dusseldorf (DUS),DH8D,4380,12:15,13:50,51.289,6.8,Air Berlin,14
BT235,Riga (RIX),Dusseldorf (DUS),B735,6840,12:30,13:50,51.289,6.8,Air Baltic,14
XQ958,Izmir (ADB),Dusseldorf (DUS),B738,10260,11:30,13:55,51.289,6.8,SunExpress,14
AB8763,Venice (VCE),Dusseldorf (DUS),A320,4080,12:25,13:55,51.289,6.8,Air Berlin,14
EW9823,Milan (MXP),Dusseldorf (DUS),A320,3780,12:35,14:00,51.289,6.8,Eurowings   ,14
LX1018,Zurich (ZRH),Dusseldorf (DUS),F100,2820,12:40,14:00,51.289,6.8,Swiss,14
KL1857,Amsterdam (AMS),Dusseldorf (DUS),F70,1620,13:10,14:00,51.289,6.8,KLM Cityhopper,14
EW9047,Berlin (TXL),Dusseldorf (DUS),A320,2940,12:50,14:00,51.289,6.8,Eurowings,14
AB6747,Hamburg (HAM),Dusseldorf (DUS),AT75,3480,13:00,14:00,51.289,6.8,Air Berlin,14
8Q415,Istanbul (IST),Dusseldorf (DUS),A321,9360,11:35,14:05,51.289,6.8,Onur Air,14
AB8683,Bologna (BLQ),Dusseldorf (DUS),DH8D,5520,12:05,14:05,51.289,6.8,Air Berlin,14
IA233,Arbil (EBL),Dusseldorf (DUS),A320,18360,09:50,14:05,51.289,6.8,Iraqi Airways,14
EY29,Abu Dhabi (AUH),Dusseldorf (DUS),A332,24120,08:55,14:10,51.289,6.8,Etihad Airways,14
AB8013,Stockholm (ARN),Dusseldorf (DUS),32S,6360,12:10,14:10,51.289,6.8,Air Berlin,16
EW9731,Wroclaw (WRO),Dusseldorf (DUS),A320,3960,12:55,14:15,51.289,6.8,Eurowings,14
AB8883,Florence (FLR),Dusseldorf (DUS),DH8D,5880,12:10,14:15,51.289,6.8,Air Berlin,14
OS153,Vienna (VIE),Dusseldorf (DUS),A320,4020,12:40,14:20,51.289,6.8,Austrian Airlines,14
4U9339,Newcastle (NCL),Dusseldorf (DUS),A319,3840,12:00,14:20,51.289,6.8,Germanwings,14
AB6441,Berlin (TXL),Dusseldorf (DUS),A320,2520,13:05,14:20,51.289,6.8,Air Berlin,16
BE7043,Birmingham (BHX),Dusseldorf (DUS),DH8D,4260,08:50,11:20,51.289,6.8,Flybe,12
AB8943,Barcelona (BCN),Dusseldorf (DUS),A320,6480,12:20,14:25,51.289,6.8,Air Berlin,14
EW9961,Split (SPU),Dusseldorf (DUS),A320,5340,14:15,16:15,51.289,6.8,Eurowings,16
EW9811,Venice (VCE),Dusseldorf (DUS),A320,4080,16:35,18:10,51.289,6.8,Eurowings,18
EW9467,London (LHR),Dusseldorf (DUS),A320,3540,12:10,14:30,51.289,6.8,Eurowings,14
LH2012,Munich (MUC),Dusseldorf (DUS),A321,2880,13:30,14:40,51.289,6.8,Lufthansa,16
EW9361,Glasgow (GLA),Dusseldorf (DUS),A320,5520,12:00,14:40,51.289,6.8,Eurowings,14
EW9571,Jerez (XRY),Dusseldorf (DUS),A320,9060,14:40,17:45,51.289,6.8,Eurowings,18
AB6881,Sylt (GWT),Dusseldorf (DUS),DH8D,3420,13:15,14:20,51.289,6.8,Air Berlin,16
EW9873,Bari (BRI),Dusseldorf (DUS),A320,6660,09:25,11:45,51.289,6.8,Eurowings,14
S7991,Moscow (DME),Dusseldorf (DUS),B738,9960,12:40,15:05,51.289,6.8,S7 Airlines,14
VY1898,Barcelona (BCN),Dusseldorf (DUS),A320,6720,12:50,15:10,51.289,6.8,Vueling,14
AB6034,Munich (MUC),Dusseldorf (DUS),A320,2880,13:55,15:10,51.289,6.8,Air Berlin,16
SK1621,Copenhagen (CPH),Dusseldorf (DUS),CRJ9,3540,14:10,15:25,51.289,6.8,SAS,16
EW9883,Rome (FCO),Dusseldorf (DUS),A320,5580,10:30,12:40,51.289,6.8,Eurowings,12
EW9869,Rome (FCO),Dusseldorf (DUS),A320,6060,13:20,15:30,51.289,6.8,Eurowings,16
A3840,Athens (ATH),Dusseldorf (DUS),A320,9480,13:25,15:35,51.289,6.8,Aegean Airlines,16
4U9793,Bucharest (OTP),Dusseldorf (DUS),A319,7740,12:40,14:15,51.289,6.8,Germanwings,14
BA940,London (LHR),Dusseldorf (DUS),A319,3360,13:25,15:50,51.289,6.8,British Airways,16
EW9733,Krakow (KRK),Dusseldorf (DUS),B738,4680,14:10,15:50,51.289,6.8,SunExpress,16
AB7393,San Francisco (SFO),Dusseldorf (DUS),A332,37740,20:15,15:55,51.289,6.8,Air Berlin,18
NH209,Tokyo (NRT),Dusseldorf (DUS),B789,40500,11:00,16:00,51.289,6.8,All Nippon Airways,16
EW9845,Olbia (OLB),Dusseldorf (DUS),A320,6900,13:30,15:30,51.289,6.8,Eurowings,16
AB6445,Berlin (TXL),Dusseldorf (DUS),A320,2580,15:00,16:10,51.289,6.8,Air Berlin,16
PC1003,Istanbul (SAW),Dusseldorf (DUS),A20N,9900,14:30,16:50,51.289,6.8,Pegasus Airlines,16
HG3575,Palma de Mallorca (PMI),Dusseldorf (DUS),A321,7560,20:25,22:45,51.289,6.8,Niki,0
4U8044,Berlin (TXL),Dusseldorf (DUS),A319,3060,15:10,16:20,51.289,6.8,Germanwings,16
AB6837,Stuttgart (STR),Dusseldorf (DUS),DH8D,2580,15:20,16:25,51.289,6.8,Air Berlin,16
BE7049,Birmingham (BHX),Dusseldorf (DUS),DH8D,4620,13:55,16:25,51.289,6.8,Flybe,16
4U9765,Zurich (ZRH),Dusseldorf (DUS),A319,3120,15:20,16:30,51.289,6.8,Germanwings,16
AB8331,Nice (NCE),Dusseldorf (DUS),B738,4920,14:55,16:30,51.289,6.8,Air Berlin   ,16
AF1406,Paris (CDG),Dusseldorf (DUS),E190,3180,15:30,16:40,51.289,6.8,HOP!,16
LH2014,Munich (MUC),Dusseldorf (DUS),A321,2640,15:30,16:40,51.289,6.8,Lufthansa,18
BE7215,Manchester (MAN),Dusseldorf (DUS),DH8D,5220,14:00,16:40,51.289,6.8,Flybe,18
SU2154,Moscow (SVO),Dusseldorf (DUS),A320,9660,14:25,16:45,51.289,6.8,Aeroflot,16
BA3275,London (LCY),Dusseldorf (DUS),E170,3180,11:50,14:00,51.289,6.8,Eastern Airways,14
A53004,Nantes (NTE),Dusseldorf (DUS),E145,4620,15:20,16:50,51.289,6.8,HOP!,16
EW9519,Bilbao (BIO),Dusseldorf (DUS),A320,5820,20:35,22:35,51.289,6.8,Eurowings,22
4U9751,Vienna (VIE),Dusseldorf (DUS),A320,4020,15:25,16:55,51.289,6.8,Germanwings,18
AB6751,Hamburg (HAM),Dusseldorf (DUS),AT75,3240,16:00,17:00,51.289,6.8,Air Berlin,18
EW7066,Hamburg (HAM),Dusseldorf (DUS),AT75,3240,16:00,17:00,51.289,6.8,Eurowings,18
EW7067,Hamburg (HAM),Dusseldorf (DUS),AT75,3360,16:00,17:00,51.289,6.8,Eurowings,18
LH82,Frankfurt (FRA),Dusseldorf (DUS),A321,1740,16:10,17:00,51.289,6.8,Lufthansa,16
AB6781,Nurnberg (NUE),Dusseldorf (DUS),DH8D,2520,15:55,17:00,51.289,6.8,Mistral Air,18
AB8523,Salzburg (SZG),Dusseldorf (DUS),DH8D,3840,15:40,17:05,51.289,6.8,Air Berlin,18
AB6809,Dresden (DRS),Dusseldorf (DUS),DH8D,3180,15:50,17:05,51.289,6.8,Air Berlin,18
EW9539,Valencia (VLC),Dusseldorf (DUS),A320,7740,17:00,19:20,51.289,6.8,Eurowings   ,20
AB6036,Munich (MUC),Dusseldorf (DUS),A320,2760,16:10,17:15,51.289,6.8,Air Berlin,20
EW9815,Catania (CTA),Dusseldorf (DUS),A320,8220,14:10,17:05,51.289,6.8,Eurowings,18
AB8591,Zurich (ZRH),Dusseldorf (DUS),A320,2820,16:05,17:20,51.289,6.8,Air Berlin,18
PC1511,Izmir (ADB),Dusseldorf (DUS),B738,10200,16:55,19:20,51.289,6.8,Pegasus Airlines,18
XG2832,Lanzarote (ACE),Dusseldorf (DUS),B738,13500,13:45,19:05,51.289,6.8,SunExpress   ,18
LH2016,Munich (MUC),Dusseldorf (DUS),A320,2760,16:30,17:40,51.289,6.8,Lufthansa,18
KL1861,Amsterdam (AMS),Dusseldorf (DUS),E190,1440,16:50,17:40,51.289,6.8,KLM Cityhopper,18
BA942,London (LHR),Dusseldorf (DUS),A321,3300,15:10,17:40,51.289,6.8,British Airways,18
AB8441,Vienna (VIE),Dusseldorf (DUS),A320,3780,16:10,17:40,51.289,6.8,Air Berlin,18
TK1527,Istanbul (IST),Dusseldorf (DUS),A332,9300,15:20,17:40,51.289,6.8,Turkish Airlines,18
XQ988,Izmir (ADB),Dusseldorf (DUS),B738,10500,15:20,17:45,51.289,6.8,SunExpress,18
EW9043,Berlin (TXL),Dusseldorf (DUS),A320,2880,16:50,18:00,51.289,6.8,Eurowings,18
AY707,Helsinki (HEL),Dusseldorf (DUS),A320,7680,16:30,17:55,51.289,6.8,Finnair,18
EW9681,Athens (ATH),Dusseldorf (DUS),A320,10680,15:40,17:55,51.289,6.8,Eurowings,18
EW9405,Paris (CDG),Dusseldorf (DUS),A319,2760,16:55,18:00,51.289,6.8,Eurowings,18
XQ182,Antalya (AYT),Dusseldorf (DUS),B738,11760,15:00,18:00,51.289,6.8,SunExpress,18
EW9825,Milan (MXP),Dusseldorf (DUS),A320,3900,16:35,18:00,51.289,6.8,Eurowings,20
AB8627,Geneva (GVA),Dusseldorf (DUS),DH8D,4080,16:30,18:05,51.289,6.8,Air Berlin,20
EW9775,Prague (PRG),Dusseldorf (DUS),A319,3960,16:55,18:05,51.289,6.8,Eurowings,20
4U9747,Geneva (GVA),Dusseldorf (DUS),A319,3540,16:55,18:05,51.289,6.8,Germanwings,18
LH84,Frankfurt (FRA),Dusseldorf (DUS),A320,1620,17:20,18:10,51.289,6.8,Lufthansa   ,18
SK627,Copenhagen (CPH),Dusseldorf (DUS),A320,3660,16:50,18:10,51.289,6.8,SAS,20
AB6447,Berlin (TXL),Dusseldorf (DUS),A320,2520,17:05,18:15,51.289,6.8,Air Berlin,18
EW9581,Palma de Mallorca (PMI),Dusseldorf (DUS),A320,6600,15:50,18:15,51.289,6.8,Eurowings,18
EW9343,Manchester (MAN),Dusseldorf (DUS),A320,4200,15:55,18:20,51.289,6.8,Eurowings,18
BE1405,London (LCY),Dusseldorf (DUS),DH8D,4080,15:50,18:25,51.289,6.8,Flybe,18
AB8045,Copenhagen (CPH),Dusseldorf (DUS),DH8D,4320,16:55,18:25,51.289,6.8,Air Berlin,18
4U9073,Leipzig (LEJ),Dusseldorf (DUS),A319,2820,17:25,18:25,51.289,6.8,Germanwings,18
IB3132,Madrid (MAD),Dusseldorf (DUS),A321,6960,15:55,18:25,51.289,6.8,Iberia,18
EW9037,Hamburg (HAM),Dusseldorf (DUS),A319,2280,16:05,17:00,51.289,6.8,Eurowings,18
EW9335,Birmingham (BHX),Dusseldorf (DUS),A320,4500,16:15,18:35,51.289,6.8,Eurowings,18
EW9041,Berlin (TXL),Dusseldorf (DUS),A319,3000,17:25,18:35,51.289,6.8,Eurowings,18
EW9021,Dresden (DRS),Dusseldorf (DUS),A320,3180,17:25,18:35,51.289,6.8,Eurowings,18
BA8203,Billund (BLL),Dusseldorf (DUS),J328,3660,17:20,18:35,51.289,6.8,British Airways,18
AB8715,Rome (FCO),Dusseldorf (DUS),A320,5520,16:30,18:35,51.289,6.8,Air Berlin,20
EW9677,Chania (CHQ),Dusseldorf (DUS),A320,11280,15:45,18:20,51.289,6.8,Eurowings,18
LH2018,Munich (MUC),Dusseldorf (DUS),A320,2760,17:30,18:40,51.289,6.8,Lufthansa,18
4U9065,Nurnberg (NUE),Dusseldorf (DUS),A319,2340,17:55,18:50,51.289,6.8,Germanwings,20
SK818,Oslo (OSL),Dusseldorf (DUS),B738,5760,17:00,18:50,51.289,6.8,SAS,18
LO407,Warsaw (WAW),Dusseldorf (DUS),E190,5160,17:05,19:00,51.289,6.8,LOT   ,18
AB8775,Venice (VCE),Dusseldorf (DUS),DH8D,4800,17:20,19:10,51.289,6.8,Air Berlin,20
LX1026,Zurich (ZRH),Dusseldorf (DUS),DH8D,3720,17:35,18:55,51.289,6.8,Swiss,20
SK2625,Stockholm (ARN),Dusseldorf (DUS),A20N,6180,17:10,19:10,51.289,6.8,SAS,20
OK526,Prague (PRG),Dusseldorf (DUS),AT75,4920,17:35,19:15,51.289,6.8,Czech Airlines,20
AB8747,Milan (LIN),Dusseldorf (DUS),A320,3540,17:45,19:15,51.289,6.8,Air Berlin,20
AB6040,Munich (MUC),Dusseldorf (DUS),A320,2580,18:10,19:20,51.289,6.8,Air Berlin,20
OS155,Vienna (VIE),Dusseldorf (DUS),A320,4140,17:40,19:20,51.289,6.8,Austrian Airlines,20
OS203,Graz (GRZ),Dusseldorf (DUS),DH8D,5460,17:35,19:20,51.289,6.8,Austrian Airlines,20
SM491,Hurghada (HRG),Dusseldorf (DUS),B738,21060,14:10,19:20,51.289,6.8,AMC Aviation,20
DE1517,Palma de Mallorca (PMI),Dusseldorf (DUS),A321,6960,20:25,22:45,51.289,6.8,Avion Express,22
EK57,Dubai (DXB),Dusseldorf (DUS),B77W,22740,14:35,19:30,51.289,6.8,Emirates,20
AB8687,Bologna (BLQ),Dusseldorf (DUS),DH8D,5520,17:35,19:35,51.289,6.8,Air Berlin,20
HG7765,Palma de Mallorca (PMI),Dusseldorf (DUS),A321,6420,17:20,19:40,51.289,6.8,Niki,22
AB8881,Florence (FLR),Dusseldorf (DUS),DH8D,5880,17:35,19:40,51.289,6.8,Air Berlin,20
OS211,Linz (LNZ),Dusseldorf (DUS),DH8D,4560,18:20,19:50,51.289,6.8,Austrian Airlines,20
LH2020,Munich (MUC),Dusseldorf (DUS),A320,3240,18:40,19:50,51.289,6.8,Lufthansa,20
BM1867,Bristol (BRS),Dusseldorf (DUS),E145,4380,17:25,19:50,51.289,6.8,BMI Regional,20
AF1006,Paris (CDG),Dusseldorf (DUS),E190,2820,18:40,19:50,51.289,6.8,Air France,20
BA944,London (LHR),Dusseldorf (DUS),A319,3060,17:25,19:50,51.289,6.8,British Airways,20
EW9465,London (LHR),Dusseldorf (DUS),A319,3300,17:35,19:55,51.289,6.8,Eurowings,20
AB6757,Hamburg (HAM),Dusseldorf (DUS),AT75,3180,19:00,20:00,51.289,6.8,Air Berlin,22
4U8046,Berlin (TXL),Dusseldorf (DUS),A319,3540,18:55,20:05,51.289,6.8,Germanwings,20
LS347,Leeds (LBA),Dusseldorf (DUS),B733,4920,18:00,20:30,51.289,6.8,Jet2,20
AB8947,Barcelona (BCN),Dusseldorf (DUS),A320,6660,17:55,20:05,51.289,6.8,Air Berlin,20
AB8019,Stockholm (ARN),Dusseldorf (DUS),32S,6060,18:05,20:05,51.289,6.8,Air Berlin,20
JU324,Belgrade (BEG),Dusseldorf (DUS),A319,5880,18:00,20:10,51.289,6.8,AirSERBIA,20
BE1897,Southampton (SOU),Dusseldorf (DUS),DH8D,5100,17:40,20:10,51.289,6.8,Flybe,20
4U9767,Zurich (ZRH),Dusseldorf (DUS),A319,3540,19:00,20:10,51.289,6.8,Germanwings,20
4U7064,Hamburg (HAM),Dusseldorf (DUS),A319,2520,19:15,20:10,51.289,6.8,Germanwings,20
AB6449,Berlin (TXL),Dusseldorf (DUS),A320,2700,18:55,20:05,51.289,6.8,Air Berlin,20
EI698,Dublin (DUB),Dusseldorf (DUS),A320,4740,17:30,20:15,51.289,6.8,Aer Lingus,20
AB6841,Stuttgart (STR),Dusseldorf (DUS),AT75,3420,19:10,20:15,51.289,6.8,Air Berlin,20
AB6785,Nurnberg (NUE),Dusseldorf (DUS),DH8D,2640,19:05,20:10,51.289,6.8,Air Berlin,20
BE7045,Birmingham (BHX),Dusseldorf (DUS),DH8D,5460,17:50,20:20,51.289,6.8,Flybe,20
BA946,London (LHR),Dusseldorf (DUS),A319,3240,18:20,20:45,51.289,6.8,British Airways,20
EW9403,Paris (CDG),Dusseldorf (DUS),A319,2640,20:25,21:30,51.289,6.8,Eurowings,22
AB8443,Vienna (VIE),Dusseldorf (DUS),A320,3840,20:25,21:55,51.289,6.8,Air Berlin,0
4U9753,Vienna (VIE),Dusseldorf (DUS),A320,4140,20:05,21:35,51.289,6.8,Germanwings,22
AF1106,Paris (CDG),Dusseldorf (DUS),E190,2940,20:30,21:40,51.289,6.8,Air France,22
EW9771,Prague (PRG),Dusseldorf (DUS),A319,3480,20:30,21:40,51.289,6.8,Eurowings,22
LO405,Warsaw (WAW),Dusseldorf (DUS),E75S,5160,19:45,21:40,51.289,6.8,LOT,22
ST8657,Pristina (PRN),Dusseldorf (DUS),A321,8040,17:40,20:15,51.289,6.8,Germania,20
EW9039,Hamburg (HAM),Dusseldorf (DUS),A320,2400,20:50,21:45,51.289,6.8,Eurowings,22
EW9071,Leipzig (LEJ),Dusseldorf (DUS),A320,2700,20:45,21:45,51.289,6.8,Eurowings,0
EW9023,Dresden (DRS),Dusseldorf (DUS),A320,3180,20:45,21:50,51.289,6.8,Eurowings,22
EW9045,Berlin (TXL),Dusseldorf (DUS),A320,3120,20:40,21:50,51.289,6.8,Eurowings,22
EW9587,Palma de Mallorca (PMI),Dusseldorf (DUS),A320,7500,17:25,19:45,51.289,6.8,SunExpress,22
EW9723,Warsaw (WAW),Dusseldorf (DUS),A320,4800,20:05,21:50,51.289,6.8,Eurowings   ,0
EW9769,Zurich (ZRH),Dusseldorf (DUS),A320,2940,20:45,21:55,51.289,6.8,Eurowings,22
4U9715,Basel (BSL),Dusseldorf (DUS),A319,2340,20:45,21:50,51.289,6.8,Germanwings,22
AB8527,Salzburg (SZG),Dusseldorf (DUS),DH8D,4140,20:30,21:55,51.289,6.8,Air Berlin,0
EW9463,London (LHR),Dusseldorf (DUS),A320,3120,19:35,21:55,51.289,6.8,Eurowings,0
4U9749,Geneva (GVA),Dusseldorf (DUS),A319,3960,20:45,21:55,51.289,6.8,Germanwings,22
4U9067,Nurnberg (NUE),Dusseldorf (DUS),A319,1980,21:00,21:55,51.289,6.8,Germanwings,22
BE7047,Birmingham (BHX),Dusseldorf (DUS),DH8D,4800,19:30,22:05,51.289,6.8,Flybe,22
EW9213,Stockholm (ARN),Dusseldorf (DUS),A320,6540,20:00,22:00,51.289,6.8,Eurowings,22
EW9417,Lyon (LYS),Dusseldorf (DUS),A320,3360,20:30,22:00,51.289,6.8,Eurowings,22
SK629,Copenhagen (CPH),Dusseldorf (DUS),CRJ9,4500,20:40,22:00,51.289,6.8,SAS,0
SU2436,Moscow (SVO),Dusseldorf (DUS),A320,9540,19:40,22:00,51.289,6.8,Aeroflot,22
HG2647,Funchal (FNC),Dusseldorf (DUS),A321,12000,09:55,14:50,51.289,6.8,Niki,14
HG3225,Malaga (AGP),Dusseldorf (DUS),A321,9360,09:50,12:40,51.289,6.8,Niki,14
EW9443,Barcelona (BCN),Dusseldorf (DUS),A320,6420,19:45,22:05,51.289,6.8,Eurowings,22
LH88,Frankfurt (FRA),Dusseldorf (DUS),A319,1680,21:20,22:10,51.289,6.8,Lufthansa,22
EW9783,Budapest (BUD),Dusseldorf (DUS),A320,5160,20:25,22:10,51.289,6.8,Eurowings,22
LH2024,Munich (MUC),Dusseldorf (DUS),A320,2580,21:00,22:10,51.289,6.8,Lufthansa,22
HG2311,Lanzarote (ACE),Dusseldorf (DUS),B738,13800,10:10,15:15,51.289,6.8,Travel Service,16
IB3134,Madrid (MAD),Dusseldorf (DUS),A319,7380,19:40,22:15,51.289,6.8,Iberia,22
X34589,Rhodes (RHO),Dusseldorf (DUS),B738,11040,11:20,14:05,51.289,6.8,TUI fly Deutschland,14
